# Extended sample data with 60 entries and more features
User_ID,Age,Salary,Brand_Preference,Online_Activity_Score,Tech_Savvy,Previous_Purchases,Preferred_OS,Loyalty_Score,Avg_Session_Time,Social_Media_Influence,Warranty_Interest,Purchased
1,25,50000,Samsung,80,1,2,Android,7,2.5,65,1,1
2,30,60000,Apple,60,0,1,iOS,5,1.8,80,0,0
3,22,45000,Xiaomi,90,1,0,Android,8,3.1,70,1,1
4,28,52000,OnePlus,70,1,3,Android,6,2.2,60,0,0
5,35,70000,Samsung,50,0,5,Android,9,1.5,55,1,1
6,27,48000,Apple,85,1,1,iOS,7,2.7,90,1,1
7,24,51000,Xiaomi,75,1,2,Android,6,2.0,75,0,1
8,32,65000,OnePlus,65,0,4,Android,5,1.9,60,1,0
9,29,54000,Samsung,88,1,3,Android,8,2.8,85,1,1
10,31,62000,Apple,55,0,2,iOS,4,1.6,50,0,0
11,23,47000,Xiaomi,92,1,0,Android,9,3.3,95,1,1
12,26,53000,OnePlus,78,1,1,Android,7,2.4,80,0,1
13,34,71000,Samsung,58,0,6,Android,10,1.3,45,1,1
14,28,60000,Apple,62,0,2,iOS,6,2.1,70,0,0
15,25,49000,Xiaomi,85,1,1,Android,8,2.9,88,1,1
16,33,67000,OnePlus,68,1,5,Android,7,2.0,65,0,0
17,27,52000,Samsung,80,1,2,Android,8,2.6,78,1,1
18,29,61000,Apple,60,0,3,iOS,5,1.7,60,0,0
19,22,46000,Xiaomi,95,1,0,Android,10,3.5,98,1,1
20,30,58000,OnePlus,72,1,2,Android,6,2.3,75,0,1
21,36,73000,Samsung,52,0,7,Android,9,1.2,40,1,1
22,28,62000,Apple,64,0,2,iOS,7,2.0,68,0,0
23,24,50000,Xiaomi,88,1,1,Android,8,3.0,85,1,1
24,32,66000,OnePlus,66,1,4,Android,6,1.8,62,1,0
25,29,55000,Samsung,82,1,3,Android,8,2.7,80,1,1
26,31,63000,Apple,57,0,2,iOS,4,1.5,52,0,0
27,23,48000,Xiaomi,93,1,0,Android,9,3.4,97,1,1
28,26,54000,OnePlus,76,1,1,Android,7,2.5,82,0,1
29,34,72000,Samsung,54,0,6,Android,10,1.1,42,1,1
30,28,61000,Apple,63,0,2,iOS,6,2.2,72,0,0
31,25,50000,Xiaomi,87,1,1,Android,8,2.8,87,1,1
32,33,68000,OnePlus,69,1,5,Android,7,2.1,67,0,0
33,27,53000,Samsung,81,1,2,Android,8,2.7,79,1,1
34,29,62000,Apple,61,0,3,iOS,5,1.6,61,0,0
35,22,47000,Xiaomi,94,1,0,Android,10,3.6,99,1,1
36,30,59000,OnePlus,73,1,2,Android,6,2.4,77,0,1
37,36,74000,Samsung,53,0,7,Android,9,1.0,39,1,1
38,28,63000,Apple,65,0,2,iOS,7,2.1,69,0,0
39,24,51000,Xiaomi,89,1,1,Android,8,3.1,86,1,1
40,32,67000,OnePlus,67,1,4,Android,6,1.7,63,1,0
41,29,56000,Samsung,83,1,3,Android,8,2.8,81,1,1
42,31,64000,Apple,56,0,2,iOS,4,1.4,53,0,0
43,23,49000,Xiaomi,91,1,0,Android,9,3.5,96,1,1
44,26,55000,OnePlus,77,1,1,Android,7,2.6,83,0,1
45,34,73000,Samsung,55,0,6,Android,10,1.2,43,1,1
46,28,62000,Apple,66,0,2,iOS,6,2.0,71,0,0
47,25,51000,Xiaomi,86,1,1,Android,8,2.9,89,1,1
48,33,69000,OnePlus,70,1,5,Android,7,2.2,66,0,0
49,27,54000,Samsung,79,1,2,Android,8,2.5,77,1,1
50,29,63000,Apple,62,0,3,iOS,5,1.8,63,0,0
51,22,48000,Xiaomi,96,1,0,Android,10,3.7,100,1,1
52,30,60000,OnePlus,74,1,2,Android,6,2.3,76,0,1
53,36,75000,Samsung,51,0,7,Android,9,1.1,38,1,1
54,28,64000,Apple,67,0,2,iOS,7,2.2,70,0,0
55,24,52000,Xiaomi,90,1,1,Android,8,3.2,84,1,1
56,32,68000,OnePlus,68,1,4,Android,6,1.9,64,1,0
57,29,57000,Samsung,84,1,3,Android,8,2.9,82,1,1
58,31,65000,Apple,58,0,2,iOS,4,1.7,54,0,0
59,23,50000,Xiaomi,92,1,0,Android,9,3.6,95,1,1
60,26,56000,OnePlus,79,1,1,Android,7,2.8,81,0,1
